head_id	head_name	relation	tail_id	tail_name	confidence	source
19523	Definition:Foiaș Constant	equivalent_to	19527	Definition:Foiaș Constant/Second	0.9	equiv_section
2556	Definition:Loop-Graph	equivalent_to	2653	Definition:Pseudograph	0.9	equiv_section
22278	Definition:Polynomial Ring/Indeterminate	equivalent_to	10541	Definition:Polynomial Ring	0.9	equiv_section
4084	Definition:Completion (Metric Space)	equivalent_to	1712	Definition:Inner Product Space	0.9	equiv_section
7870	Definition:Mathematical Logic	equivalent_to	47	Definition:Symbolic Logic	0.9	equiv_section
14939	Definition:Proportion/Continued	equivalent_to	2016	Definition:Geometric Sequence	0.9	equiv_section
7737	Definition:Rig	equivalent_to	136	Definition:Semigroup	0.9	equiv_section
11906	Definition:Literal	equivalent_to	11863	Definition:Language of Propositional Logic	0.9	equiv_section
9598	Definition:Stone Space	equivalent_to	4983	Definition:Type Space	0.9	equiv_section
27042	Sphere in Normed Division Ring is Sphere in Induced Metric	equivalent_to	25569	Definition:Sphere/Normed Division Ring	0.9	equiv_section
25583	Definition:Topology Induced by Division Ring Norm	equivalent_to	20625	Definition:Normed Division Ring	0.9	equiv_section
220	Definition:Image (Set Theory)	equivalent_to	25	Definition:Subset	0.9	equiv_section
7119	Definition:Upper Closure	equivalent_to	7116	Definition:Strict Upper Closure	0.9	equiv_section
7539	Definition:Negative/Integer	equivalent_to	13335	Definition:Strictly Negative Integer	0.9	equiv_section
127	Definition:Mapping	equivalent_to	344	Definition:Quotient Mapping	0.9	equiv_section
130	Definition:Algebraic Structure	equivalent_to	7737	Definition:Rig	0.9	equiv_section
7538	Definition:Negative/Real Number	equivalent_to	1690	Definition:Closure (Topology)	0.9	equiv_section
16271	Definition:Astronomy	equivalent_to	27391	Definition:Culmination	0.9	equiv_section
3083	Definition:Countably Subadditive Function	equivalent_to	3082	Definition:Subadditive Function (Measure Theory)	0.9	equiv_section
15693	Definition:Indexed Family of Sets	equivalent_to	3435	Union of Empty Set	0.9	equiv_section
6827	Definition:Sequence/Empty Sequence	equivalent_to	3520	Definition:Limit of Sequence (Number Field)	0.9	equiv_section
9858	Definition:Ray (Order Theory)	equivalent_to	16022	Definition:Closed Ray	0.9	equiv_section
19873	Definition:Canonical Variable	equivalent_to	25647	Definition:Real Variable	0.9	equiv_section
140	Definition:Commutative Semigroup	equivalent_to	119	Definition:Group	0.9	equiv_section
3159	Definition:Expectation	equivalent_to	10798	Definition:Geometric Distribution/Shifted	0.9	equiv_section
20035	Definition:Infinite Product	equivalent_to	20553	Definition:Uniform Absolute Convergence of Product	0.9	equiv_section
11779	Definition:Subtraction/Integers	equivalent_to	7870	Definition:Mathematical Logic	0.9	equiv_section
16636	Definition:Regular Hendecagon	equivalent_to	16631	Definition:Hendecagon/Regular	0.9	equiv_section
127	Definition:Mapping	equivalent_to	7325	Definition:Integral of Positive Measurable Function	0.9	equiv_section
22326	Definition:Iterated Binary Operation over Finite Set	equivalent_to	753	Definition:Summation	0.9	equiv_section
3084	Finite Union of Sets in Subadditive Function	equivalent_to	3082	Definition:Subadditive Function (Measure Theory)	0.9	equiv_section
3503	Definition:Neighborhood Basis	equivalent_to	3472	Definition:Local Basis	0.9	equiv_section
15699	Definition:Indexed Family	equivalent_to	3370	Definition:Set of Sets	0.9	equiv_section
